"","ubicgeo","cod_delito","total_procesados","anio","sistema","concepto"
"1","01001",1010,2,"2018","oral","- Homicidio"
"2","01001",1010,1,"2018","oral","- Homicidio"
"3","01001",2060,2,"2018","oral","- Secuestro"
"4","01001",1010,4,"2018","oral","- Homicidio"
"5","01001",1010,1,"2018","oral","- Homicidio"
"6","01001",1010,1,"2019","oral","- Homicidio"
"7","01001",1010,1,"2019","oral","- Homicidio"
"8","01001",1010,1,"2019","oral","- Homicidio"
"9","01001",1010,4,"2019","oral","- Homicidio"
"10","01001",1010,1,"2019","oral","- Homicidio"
"11","01001",1010,1,"2019","oral","- Homicidio"
"12","01001",3040,1,"2019","oral","- Violación"
"13","01001",2060,1,"2019","oral","- Secuestro"
"14","01001",1010,1,"2019","oral","- Homicidio"
"15","01001",1010,1,"2019","oral","- Homicidio"
"16","01001",3040,1,"2019","oral","- Violación"
"17","01001",1010,1,"2019","oral","- Homicidio"
"18","01001",3040,1,"2019","oral","- Violación"
"19","01001",1010,1,"2019","oral","- Homicidio"
"20","01001",1010,1,"2019","oral","- Homicidio"
"21","01001",2060,1,"2019","oral","- Secuestro"
"22","01001",1010,1,"2019","oral","- Homicidio"
"23","01001",3040,1,"2019","oral","- Violación"
"24","01001",1010,1,"2019","oral","- Homicidio"
"25","01001",1010,1,"2019","oral","- Homicidio"
"26","01001",1010,1,"2019","oral","- Homicidio"
"27","01001",1010,1,"2019","oral","- Homicidio"
"28","01001",1010,1,"2019","oral","- Homicidio"
"29","01001",1010,1,"2019","oral","- Homicidio"
"30","01001",3040,1,"2019","oral","- Violación"
"31","01001",3040,1,"2019","oral","- Violación"
"32","01001",1010,1,"2019","oral","- Homicidio"
"33","01001",1010,1,"2019","oral","- Homicidio"
"34","01001",2060,1,"2019","oral","- Secuestro"
"35","01001",7010,1,"2019","oral","- Narcomenudeo"
"36","01001",3040,1,"2019","oral","- Violación"
"37","01001",1010,1,"2019","oral","- Homicidio"
"38","01001",2060,1,"2019","oral","- Secuestro"
"39","01001",3040,1,"2019","oral","- Violación"
"40","01001",1010,1,"2020","oral","- Homicidio"
"41","01001",3040,1,"2020","oral","- Violación"
"42","01001",1010,1,"2020","oral","- Homicidio"
"43","01001",1010,1,"2020","oral","- Homicidio"
"44","01001",1010,4,"2020","oral","- Homicidio"
"45","01001",7010,1,"2020","oral","- Narcomenudeo"
"46","01001",1010,2,"2020","oral","- Homicidio"
"47","01001",1010,1,"2020","oral","- Homicidio"
"48","01001",1010,1,"2020","oral","- Homicidio"
"49","01001",3040,1,"2020","oral","- Violación"
"50","01001",1010,1,"2020","oral","- Homicidio"
"51","01001",3040,1,"2020","oral","- Violación"
"52","01001",1010,1,"2020","oral","- Homicidio"
"53","01001",1010,1,"2020","oral","- Homicidio"
"54","01001",2060,1,"2020","oral","- Secuestro"
"55","01001",1010,2,"2020","oral","- Homicidio"
"56","01001",7010,1,"2020","oral","- Narcomenudeo"
"57","01001",1010,3,"2020","oral","- Homicidio"
"58","01001",3040,1,"2020","oral","- Violación"
"59","01001",3040,1,"2020","oral","- Violación"
"60","01001",3040,1,"2020","oral","- Violación"
"61","01001",7010,1,"2020","oral","- Narcomenudeo"
"62","01001",1010,2,"2020","oral","- Homicidio"
"63","01001",1010,2,"2020","oral","- Homicidio"
"64","01001",7010,1,"2020","oral","- Narcomenudeo"
"65","01001",1010,1,"2020","oral","- Homicidio"
"66","01001",1010,2,"2020","oral","- Homicidio"
"67","01001",3040,1,"2020","oral","- Violación"
"68","01001",3040,1,"2020","oral","- Violación"
"69","01001",3040,1,"2020","oral","- Violación"
"70","01001",1010,1,"2020","oral","- Homicidio"
"71","01001",1010,1,"2020","oral","- Homicidio"
"72","01001",3040,1,"2020","oral","- Violación"
"73","01001",3040,1,"2020","oral","- Violación"
"74","01001",1010,1,"2020","oral","- Homicidio"
"75","01001",5010,1,"2020","oral","- Violencia familiar"
"76","01001",3040,1,"2020","oral","- Violación"
"77","01001",7010,1,"2020","oral","- Narcomenudeo"
"78","01001",3040,1,"2020","oral","- Violación"
"79","01001",1010,2,"2020","oral","- Homicidio"
"80","01001",7010,1,"2020","oral","- Narcomenudeo"
